theremote	address	protocol	code	what
AC	0xF508	NEC	0x11	power
AC	0xF508	NEC	0xE	temp up
AC	0xF508	NEC	0xD	temp down
AC	0xF508	NEC	0x4	fan down
AC	0xF508	NEC	0x1	fan up
AC	0xF508	NEC	0x9	cool
AC	0xF508	NEC	0x2	energy
AC	0xF508	NEC	0x7	fan only
AC	0xF508	NEC	0x0	sleep
AC	0xF508	NEC	0xF	auto fan
AC	0xF508	NEC	0x6	timer
elegoo	0x0	NEC	0x45	power
elegoo	0x0	NEC	0x46	volume up
elegoo	0x0	NEC	0x47	func
elegoo	0x0	NEC	0x44	back
elegoo	0x0	NEC	0x40	play
elegoo	0x0	NEC	0x43	forward
elegoo	0x0	NEC	0x7	down
elegoo	0x0	NEC	0x15	volume down
elegoo	0x0	NEC	0x9	up
elegoo	0x0	NEC	0x16	0
elegoo	0x0	NEC	0x19	EQ
elegoo	0x0	NEC	0xD	ST
elegoo	0x0	NEC	0xC	1
elegoo	0x0	NEC	0x18	2
elegoo	0x0	NEC	0x5E	3
elegoo	0x0	NEC	0x8	4
elegoo	0x0	NEC	0x1C	5
elegoo	0x0	NEC	0x5A	6
elegoo	0x0	NEC	0x42	7
elegoo	0x0	NEC	0x52	8
elegoo	0x0	NEC	0x4A	9
wide boy	0x0	NEC	0x5C	V+
wide boy	0x0	NEC	0x5D	V-
wide boy	0x0	NEC	0x41	OFF
wide boy	0x0	NEC	0x40	ON
wide boy	0x0	NEC	0x58	R
wide boy	0x0	NEC	0x59	G
wide boy	0x0	NEC	0x45	B
wide boy	0x0	NEC	0x44	W
wide boy	0x0	NEC	0x4	Music 1
wide boy	0x0	NEC	0x5	Music 2
wide boy	0x0	NEC	0x6	Music 3
wide boy	0x0	NEC	0x7	Music 4
TV	0x4E	Apple	0x2	red power
TV	0x4E	Apple	0x5D	blue power
TV	0x4E	Apple	0x8	left
TV	0x4E	Apple	0x5D	OK
TV	0x4E	Apple	0x7	right
TV	0x4E	Apple	0xD	down
TV	0x4E	Apple	0x2	A
TV	0x4E	Apple	0x5E	B
